UUNITS = MILLIMETERS
RefDes               Layer      MidX          MidY         Rotation     Footprint
D244                 BOTTOM     36.2500       11.2500        0          LED-0603            
D245                 BOTTOM     36.2500        8.7500        0          LED-0603            
D246                 BOTTOM     36.2500        6.2500        0          LED-0603            
D247                 BOTTOM     36.2500        3.7500        0          LED-0603            
D248                 BOTTOM     36.2500        1.2500        0          LED-0603            
D249                 BOTTOM     38.7500       18.7500        0          LED-0603            
D25                  BOTTOM     8.7500        18.7500        0          LED-0603            
D250                 BOTTOM     38.7500       16.2500        0          LED-0603            
D251                 BOTTOM     38.7500       13.7500        0          LED-0603            
D252                 BOTTOM     38.7500       11.2500        0          LED-0603            
D253                 BOTTOM     38.7500        8.7500        0          LED-0603            
D254                 BOTTOM     38.7500        6.2500        0          LED-0603            
D255                 BOTTOM     38.7500        3.7500        0          LED-0603            
D256                 BOTTOM     38.7500        1.2500        0          LED-0603            
D26                  BOTTOM     8.7500        16.2500        0          LED-0603            
D27                  BOTTOM     8.7500        13.7500        0          LED-0603            
D28                  BOTTOM     8.7500        11.2500        0          LED-0603            
D29                  BOTTOM     8.7500         8.7500        0          LED-0603            
D3                   BOTTOM     6.2500         1.2500        0          LED-0603            
D30                  BOTTOM     8.7500         6.2500        0          LED-0603            
D31                  BOTTOM     8.7500         3.7500        0          LED-0603            
D32                  BOTTOM     8.7500         1.2500        0          LED-0603            
D33                  BOTTOM     11.2500       18.7500        0          LED-0603            
D34                  BOTTOM     11.2500       16.2500        0          LED-0603            
D35                  BOTTOM     11.2500       13.7500        0          LED-0603            
D36                  BOTTOM     11.2500       11.2500        0          LED-0603            
D37                  BOTTOM     11.2500        8.7500        0          LED-0603            
D38                  BOTTOM     11.2500        6.2500        0          LED-0603            
D39                  BOTTOM     11.2500        3.7500        0          LED-0603            
D4                   BOTTOM     1.2500        18.7500        0          LED-0603            
D40                  BOTTOM     11.2500        1.2500        0          LED-0603            
D41                  BOTTOM     13.7500       18.7500        0          LED-0603            
D42                  BOTTOM     13.7500       16.2500        0          LED-0603            
D43                  BOTTOM     13.7500       13.7500        0          LED-0603            
D44                  BOTTOM     13.7500       11.2500        0          LED-0603            
D45                  BOTTOM     13.7500        8.7500        0          LED-0603            
D46                  BOTTOM     13.7500        6.2500        0          LED-0603            
D47                  BOTTOM     13.7500        3.7500        0          LED-0603            
D48                  BOTTOM     13.7500        1.2500        0          LED-0603            
D49                  BOTTOM     16.2500       18.7500        0          LED-0603            
D5                   BOTTOM     1.2500        16.2500        0          LED-0603            
D50                  BOTTOM     16.2500       16.2500        0          LED-0603            
D51                  BOTTOM     16.2500       13.7500        0          LED-0603            
D52                  BOTTOM     16.2500       11.2500        0          LED-0603            
D53                  BOTTOM     16.2500        8.7500        0          LED-0603            
D54                  BOTTOM     16.2500        6.2500        0          LED-0603            
D55                  BOTTOM     16.2500        3.7500        0          LED-0603            
D56                  BOTTOM     16.2500        1.2500        0          LED-0603            
D57                  BOTTOM     18.7500       18.7500        0          LED-0603            
D58                  BOTTOM     18.7500       16.2500        0          LED-0603            
D59                  BOTTOM     18.7500       13.7500        0          LED-0603            
D6                   BOTTOM     1.2500        13.7500        0          LED-0603            
D60                  BOTTOM     18.7500       11.2500        0          LED-0603            
D61                  BOTTOM     18.7500        8.7500        0          LED-0603            
D62                  BOTTOM     18.7500        6.2500        0          LED-0603            
D63                  BOTTOM     18.7500        3.7500        0          LED-0603            
D64                  BOTTOM     18.7500        1.2500        0          LED-0603            
D65                  BOTTOM     21.2500       36.2500        0          LED-0603            
D66                  BOTTOM     21.2500       33.7500        0          LED-0603            
D67                  BOTTOM     21.2500       31.2500        0          LED-0603            
D68                  BOTTOM     21.2500       28.7500        0          LED-0603            
D69                  BOTTOM     21.2500       26.2500        0          LED-0603            
D7                   BOTTOM     1.2500        11.2500        0          LED-0603            
D70                  BOTTOM     21.2500       21.2500        0          LED-0603            
D71                  BOTTOM     23.7500       36.2500        0          LED-0603            
D72                  BOTTOM     23.7500       33.7500        0          LED-0603            
D73                  BOTTOM     23.7500       31.2500        0          LED-0603            
D74                  BOTTOM     23.7500       28.7500        0          LED-0603            
D75                  BOTTOM     23.7500       26.2500        0          LED-0603            
D76                  BOTTOM     23.7500       23.7500        0          LED-0603            
D77                  BOTTOM     23.7500       21.2500        0          LED-0603            
D78                  BOTTOM     26.2500       33.7500        0          LED-0603            
D79                  BOTTOM     26.2500       31.2500        0          LED-0603            
